customer_id,birth_year,gender,income,credit,married,college_degree,region,state,star_rating
1001,1971,Female,73000,742.08264,No,No,South,DC,4
1002,1970,Female,31000,749.35144,Yes,No,West,WA,NA
1003,1988,Male,35000,542.23987,No,No,South,AR,NA
1004,1984,Other,64000,573.9358,Yes,Yes,Midwest,MN,NA
1005,1987,Male,58000,644.24384,No,Yes,West,HI,5
1006,1994,Male,164000,553.61884,Yes,Yes,Midwest,MN,2
1007,1968,Male,39000,608.4886,No,No,Midwest,MN,NA
1008,1994,Male,69000,710.46173,No,No,South,KY,5
1009,1958,Male,233000,701.7864,No,No,West,NM,NA
1010,1994,Female,77000,605.1579,Yes,No,Northeast,VT,5
1011,1972,Male,122000,750.971,Yes,No,West,CO,NA
1012,1953,Female,126000,672.5966,Yes,No,South,DC,5
1013,1974,Female,197000,680.2118,Yes,Yes,West,UT,NA
1014,1997,Male,49000,666.04016,Yes,No,Northeast,PA,NA
1015,1995,Male,347000,658.33575,No,Yes,West,AZ,NA
1016,1984,Other,292000,625.79565,Yes,Yes,Northeast,VT,NA
1017,1997,Male,68000,588.2264,No,Yes,Midwest,IN,NA
1018,1984,Male,184000,665.99646,No,Yes,Northeast,VT,NA
1019,1984,Female,60000,758.1732,No,Yes,West,NM,NA
1020,1972,Male,147000,706.7768,Yes,No,South,LA,NA
1021,1997,Female,20000,503.09753,No,Yes,West,OR,NA
1022,1979,Female,155000,804.8962,No,Yes,West,UT,5
1023,1995,Female,137000,538.95197,No,Yes,Northeast,MA,4
1024,1974,Female,285000,685.41425,Yes,Yes,Midwest,OH,NA
1025,1961,Male,226000,692.16425,Yes,Yes,West,NM,NA
1026,1999,Male,66000,643.0304,No,No,South,AL,NA
1027,1996,Female,69000,692.1434,No,Yes,West,ID,NA
1028,1980,Female,87000,715.2018,No,No,West,NM,NA
1029,1986,Female,31000,702.10034,No,Yes,West,AZ,NA
1030,1969,Female,163000,636.25165,Yes,Yes,West,MT,NA
1031,1986,Other,178000,697.6574,No,Yes,Northeast,VT,NA
1032,1982,Male,52000,642.8872,No,No,Midwest,SD,4
1033,1977,Other,152000,705.6501,Yes,No,West,HI,NA
1034,1969,Other,189000,607.2661,Yes,Yes,Midwest,IA,5
1035,1986,Male,93000,778.4302,No,Yes,Midwest,MO,NA
1036,1978,Female,227000,613.6269,Yes,Yes,Northeast,CT,NA
1037,1972,Female,195000,732.98865,Yes,No,Northeast,MA,NA
1038,1970,Female,157000,819.0415,Yes,Yes,West,UT,NA
1039,1984,Male,141000,728.20386,Yes,Yes,Northeast,PA,NA
1040,1993,Female,356000,671.82153,Yes,Yes,Northeast,NY,NA
1041,1990,Male,69000,627.6437,Yes,Yes,West,MT,NA
1042,1998,Female,122000,566.7961,No,Yes,West,AK,NA
1043,1982,Male,38000,734.8787,Yes,Yes,West,OR,5
1044,1968,Female,98000,691.4687,Yes,No,South,AR,NA
1045,1976,Male,129000,682.3253,Yes,Yes,Northeast,ME,NA
1046,1987,Other,63000,668.95496,Yes,No,South,AL,4
1047,1969,Male,205000,769.9517,Yes,Yes,West,HI,NA
1048,1970,Male,235000,701.50464,Yes,Yes,Midwest,SD,NA
1049,1999,Other,88000,630.03766,No,Yes,West,WA,NA
1050,1983,Other,102000,617.3171,No,No,West,HI,NA
1051,1988,Female,44000,630.61066,No,Yes,Northeast,CT,5
1052,1971,Male,223000,575.13715,Yes,Yes,Midwest,WI,4
1053,1967,Male,298000,604.7224,No,Yes,South,NC,5
1054,1983,Female,144000,592.91895,No,Yes,West,NV,NA
1055,1992,Female,23000,729.96344,No,No,West,CA,5
1056,1989,Female,131000,730.50244,Yes,Yes,West,WA,NA
1057,1983,Female,58000,610.5415,No,No,Midwest,SD,NA
1058,1992,Female,300000,545.446,No,Yes,Northeast,CT,NA
1059,1989,Male,161000,687.6412,Yes,Yes,Midwest,IN,NA
1060,1989,Male,54000,704.55695,No,Yes,Northeast,MA,4
1061,1998,Male,39000,621.23755,Yes,No,South,DC,NA
1062,1990,Male,78000,737.79846,No,Yes,Northeast,PA,NA
1063,1984,Male,218000,674.5839,No,Yes,West,MT,NA
1064,1970,Other,237000,768.6357,Yes,Yes,Northeast,VT,4
1065,1972,Female,127000,597.081,Yes,Yes,Northeast,RI,5
1066,1972,Female,116000,710.0249,Yes,No,Northeast,NY,4
1067,1988,Other,272000,545.09143,Yes,No,Northeast,NJ,NA
1068,1977,Other,188000,591.17883,No,Yes,West,MT,NA
1069,1979,Other,197000,674.24664,Yes,Yes,South,WV,NA
1070,1982,Male,200000,710.2664,No,No,Northeast,RI,NA
1071,1971,Female,94000,721.5992,Yes,Yes,West,HI,NA
1072,1994,Female,185000,652.8534,No,Yes,West,AK,NA
1073,1984,Female,46000,639.23114,No,No,South,VA,NA
1074,1972,Female,147000,724.09467,Yes,Yes,West,NV,NA
1075,1966,Female,102000,668.6947,Yes,Yes,West,WY,NA
1076,1984,Female,123000,618.8564,Yes,Yes,West,AZ,NA
1077,1981,Male,93000,701.8037,No,Yes,West,AZ,5
1078,1986,Male,42000,753.32855,No,Yes,West,MT,NA
1079,1970,Female,137000,639.3981,No,Yes,South,TX,5
1080,1976,Female,214000,636.6746,Yes,Yes,South,MS,NA
1081,1968,Other,174000,709.42993,Yes,No,Midwest,WI,NA
1082,1989,Male,96000,632.69086,No,No,West,NV,NA
1083,1992,Female,240000,631.85114,No,Yes,Northeast,VT,5
1084,1995,Female,265000,593.2034,No,Yes,West,WA,2
1085,1972,Other,60000,754.7745,Yes,No,West,WA,5
1086,1984,Male,205000,618.27295,No,Yes,West,MT,4
1087,1996,Other,31000,478.48697,Yes,No,West,NM,NA
1088,1995,Male,182000,717.31195,No,Yes,West,WY,5
1089,1979,Female,226000,798.4162,No,Yes,West,CO,5
1090,1981,Male,136000,650.90045,No,Yes,West,UT,NA
1091,1971,Female,125000,763.1381,No,Yes,West,UT,NA
1092,1999,Other,77000,664.001,No,Yes,Midwest,MO,NA
1093,1983,Male,195000,669.3679,No,Yes,West,WA,NA
1094,1971,Female,179000,606.22,Yes,Yes,West,OR,NA
1095,1975,Male,137000,689.84143,No,Yes,Northeast,VT,NA
1096,1973,Other,112000,670.22614,Yes,No,West,HI,NA
1097,1976,Female,229000,650.1997,Yes,Yes,Northeast,MA,NA
1098,1977,Male,122000,686.3725,No,No,Northeast,ME,NA
1099,1992,Female,156000,563.8811,No,Yes,West,CA,5
1100,1983,Female,71000,659.09204,No,Yes,West,AK,NA
1101,1974,Female,211000,717.6729,Yes,Yes,West,MT,5
1102,1977,Female,216000,680.39685,No,Yes,West,AK,NA
1103,1974,Male,263000,763.90137,Yes,Yes,West,HI,5
1104,1962,Male,194000,808.0168,Yes,Yes,West,WA,NA
1105,1969,Male,186000,713.6901,Yes,Yes,Northeast,ME,4
1106,1992,Male,266000,659.45856,No,Yes,Northeast,ME,5
1107,1999,Female,97000,579.43713,No,Yes,West,CO,NA
1108,1995,Female,61000,696.9862,Yes,Yes,West,CO,4
1109,1990,Female,127000,704.4044,No,No,Northeast,NJ,NA
1110,1991,Male,25000,597.9803,Yes,No,West,NM,NA
1111,1993,Female,208000,618.06775,No,Yes,West,UT,NA
1112,1991,Female,59000,667.56836,No,Yes,Northeast,PA,5
1113,1999,Male,190000,660.594,Yes,Yes,Northeast,PA,5
1114,1965,Male,80000,842.9004,Yes,No,South,FL,NA
1115,1981,Male,27000,705.2246,No,Yes,Northeast,NH,NA
1116,1998,Other,98000,608.7844,No,Yes,Northeast,NH,5
1117,1970,Female,210000,646.2057,Yes,Yes,West,NM,5
1118,1983,Male,259000,623.9665,Yes,Yes,West,OR,NA
1119,1976,Male,163000,632.9641,No,Yes,West,UT,NA
1120,1991,Other,137000,588.43567,Yes,Yes,West,CO,NA
1121,1977,Female,199000,748.4677,No,Yes,West,AK,NA
1122,1978,Female,96000,691.908,No,No,West,NV,4
1123,1991,Male,68000,550.16425,Yes,No,Northeast,ME,NA
1124,1975,Female,124000,674.4255,No,Yes,Northeast,ME,NA
1125,1993,Male,64000,763.9711,No,Yes,Midwest,IA,NA
1126,1999,Female,121000,638.5911,No,Yes,Midwest,MO,4
1127,1968,Female,219000,702.6927,Yes,Yes,West,WA,NA
1128,1981,Female,46000,731.494,No,No,West,NV,NA
1129,1974,Female,114000,708.61926,Yes,Yes,West,MT,5
1130,1990,Male,163000,711.30896,Yes,No,South,DC,NA
1131,1985,Female,73000,644.1751,No,Yes,Northeast,NH,NA
1132,1999,Male,53000,669.21454,No,No,West,WA,3
1133,1993,Female,53000,687.24774,Yes,Yes,West,ID,NA
1134,1975,Female,212000,731.9912,No,Yes,West,CA,5
1135,1970,Other,120000,727.4363,No,Yes,Northeast,MA,5
1136,1974,Male,212000,696.4148,Yes,Yes,West,UT,NA
1137,1995,Male,50000,616.56433,Yes,Yes,West,NV,NA
1138,1974,Female,150000,676.16077,Yes,No,West,CA,NA
1139,1999,Female,293000,659.44366,Yes,Yes,Northeast,NH,5
1140,1994,Other,149000,581.18304,No,Yes,West,NV,NA
1141,1994,Female,122000,708.7501,No,Yes,West,NM,NA
1142,1971,Female,168000,623.00006,No,Yes,Midwest,IN,5
1143,1999,Female,74000,586.6055,No,Yes,West,WY,NA
1144,1993,Female,220000,612.2872,Yes,Yes,West,OR,5
1145,1998,Male,305000,609.3066,No,Yes,West,UT,NA
1146,1976,Male,191000,684.8258,No,Yes,West,WA,NA
1147,1999,Other,109000,429.15887,Yes,No,West,AK,NA
1148,1999,Male,56000,534.14154,Yes,Yes,Northeast,VT,NA
1149,1983,Male,46000,791.91376,No,No,West,CO,4
1150,1974,Female,185000,712.5772,Yes,Yes,West,UT,NA
1151,1994,Other,180000,621.7955,No,Yes,Midwest,WI,NA
1152,1975,Female,181000,731.44415,No,Yes,West,ID,NA
1153,1975,Female,172000,625.4556,No,Yes,South,NC,NA
1154,1997,Female,94000,658.43036,No,No,West,CA,5
1155,1999,Male,149000,527.47125,Yes,No,South,MS,NA
1156,1972,Female,150000,693.29175,Yes,Yes,West,MT,NA
1157,1993,Female,217000,656.4725,No,Yes,West,NV,NA
1158,1968,Other,142000,718.524,Yes,No,South,AL,NA
1159,1967,Male,150000,715.24744,Yes,Yes,West,HI,NA
1160,1972,Male,296000,708.7174,Yes,Yes,Northeast,NY,5
1161,1995,Female,54000,548.9901,No,Yes,Northeast,VT,NA
1162,1972,Male,208000,651.894,No,Yes,Northeast,NJ,NA
1163,1991,Male,81000,464.05774,Yes,No,South,MS,NA
1164,1998,Male,120000,651.18317,No,Yes,West,NV,5
1165,1984,Male,77000,670.9827,Yes,No,Northeast,PA,5
1166,1970,Female,69000,729.444,No,Yes,West,HI,4
1167,1971,Male,216000,688.0849,Yes,Yes,West,NM,NA
1168,1986,Other,293000,600.04663,No,Yes,Northeast,PA,5
1169,1992,Male,163000,582.96954,No,Yes,West,OR,NA
1170,1979,Female,150000,589.8289,Yes,Yes,West,WA,NA
1171,1996,Female,95000,565.22723,Yes,Yes,Northeast,RI,NA
1172,1980,Male,210000,668.90894,No,Yes,Northeast,VT,NA
1173,1978,Male,185000,654.59064,No,No,West,OR,NA
1174,1965,Male,146000,684.705,Yes,Yes,Northeast,MA,NA
1175,1980,Male,197000,639.96185,Yes,Yes,West,MT,NA
1176,1995,Female,22000,677.24316,No,No,South,WV,NA
1177,1976,Other,233000,799.8344,No,No,South,NC,NA
1178,1983,Other,35000,740.59265,No,Yes,West,CO,3
1179,1986,Male,80000,679.6165,No,Yes,West,NV,NA
1180,1993,Male,93000,716.6872,Yes,Yes,West,ID,NA
1181,1991,Other,148000,669.1169,No,Yes,West,MT,NA
1182,1967,Female,129000,715.18616,Yes,Yes,Northeast,VT,NA
1183,1988,Female,37000,630.95056,Yes,No,South,DC,NA
1184,1989,Other,222000,677.6662,Yes,Yes,Northeast,ME,5
1185,1997,Female,50000,685.0777,Yes,Yes,Northeast,PA,NA
1186,1976,Male,172000,488.45297,No,No,West,HI,5
1187,1983,Male,105000,681.57733,No,Yes,West,OR,NA
1188,1985,Female,43000,661.7767,No,No,Midwest,IA,NA
1189,1971,Female,33000,724.1613,Yes,No,Midwest,IN,NA
1190,1977,Female,142000,768.5505,No,No,Northeast,MA,NA
1191,1990,Female,164000,744.44183,No,No,Midwest,MI,NA
1192,1998,Male,24000,649.9455,Yes,Yes,West,NM,NA
1193,1989,Female,44000,630.12976,No,Yes,West,WA,NA
1194,1974,Female,135000,671.6665,No,Yes,Midwest,ND,5
1195,1972,Female,88000,718.1114,Yes,No,West,CA,5
1196,1976,Male,83000,613.5225,No,No,West,NV,NA
1197,1987,Male,122000,683.8433,No,Yes,Northeast,PA,NA
1198,1984,Female,87000,660.27045,No,Yes,West,ID,NA
1199,1962,Female,110000,726.2778,Yes,No,West,AZ,5
1200,1991,Male,228000,622.6284,Yes,Yes,West,UT,5
1201,1983,Female,159000,737.0833,No,Yes,West,AZ,4
1202,1988,Female,154000,581.8498,No,Yes,Midwest,NE,5
1203,1975,Male,177000,736.7923,Yes,Yes,West,UT,NA
1204,1957,Female,84000,816.63354,Yes,No,South,WV,NA
1205,1976,Female,197000,600.1073,No,Yes,Northeast,NJ,5
1206,1977,Male,181000,646.54724,No,Yes,Midwest,IN,NA
1207,1970,Female,164000,603.4459,Yes,Yes,Northeast,ME,NA
1208,1975,Male,226000,632.6289,No,Yes,Northeast,NJ,NA
1209,1971,Female,231000,739.88,Yes,Yes,West,HI,NA
1210,1995,Male,134000,618.4237,Yes,Yes,Northeast,NY,NA
1211,1974,Female,178000,747.6656,No,Yes,West,NM,NA
1212,1958,Male,179000,779.05237,Yes,Yes,West,WY,NA
1213,1991,Male,161000,676.81433,No,Yes,Northeast,VT,NA
1214,1994,Female,75000,741.1092,No,Yes,Northeast,RI,5
1215,1986,Female,43000,689.5537,No,Yes,West,AK,NA
1216,1992,Male,177000,717.0022,No,Yes,Northeast,ME,NA
